20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       234024.70    234024.70         0.00       538.88212       552.95900      1044.47900      1048.57500     15434.89 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     234024.70    234024.70         0.00       538.88212       552.95900      1044.47900      1048.57500     15434.89 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      39.423        0.000
GET      81.407        5.000
GET     111.615       10.000
GET     198.655       15.000
GET     248.831       20.000
GET     284.671       25.000
GET     348.159       30.000
GET     401.407       35.000
GET     436.223       40.000
GET     462.847       45.000
GET     552.959       50.000
GET     573.439       52.500
GET     593.919       55.000
GET     610.303       57.500
GET     622.591       60.000
GET     675.839       62.500
GET     704.511       65.000
GET     729.087       67.500
GET     749.567       70.000
GET     761.855       72.500
GET     774.143       75.000
GET     782.335       76.250
GET     823.295       77.500
GET     835.583       78.750
GET     856.063       80.000
GET     864.255       81.250
GET     876.543       82.500
GET     888.831       83.750
GET     901.119       85.000
GET     909.311       86.250
GET     913.407       87.500
GET     917.503       88.125
GET     921.599       88.750
GET     929.791       89.375
GET     929.791       90.000
GET     929.791       90.625
GET     933.887       91.250
GET     937.983       91.875
GET     942.079       92.500
GET     978.943       93.125
GET     987.135       93.750
GET     987.135       94.062
GET     995.327       94.375
GET    1003.519       94.688
GET    1003.519       95.000
GET    1007.615       95.312
GET    1011.711       95.625
GET    1015.807       95.938
GET    1019.903       96.250
GET    1023.999       96.562
GET    1023.999       96.875
GET    1028.095       97.031
GET    1028.095       97.188
GET    1028.095       97.344
GET    1028.095       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1040.383       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1040.383       98.750
GET    1040.383       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1048.575       99.492
GET    1048.575      100.000
---
WAIT      0.000      100.000
