20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       399624.49    399624.49         0.00       533.61638       540.67100      1040.38300      1048.57500     26356.91 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     399624.49    399624.49         0.00       533.61638       540.67100      1040.38300      1048.57500     26356.91 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      25.343        0.000
GET      73.215        5.000
GET     117.759       10.000
GET     167.935       15.000
GET     233.471       20.000
GET     270.335       25.000
GET     333.823       30.000
GET     366.591       35.000
GET     442.367       40.000
GET     471.039       45.000
GET     540.671       50.000
GET     569.343       52.500
GET     577.535       55.000
GET     606.207       57.500
GET     647.167       60.000
GET     671.743       62.500
GET     684.031       65.000
GET     712.703       67.500
GET     745.471       70.000
GET     774.143       72.500
GET     790.527       75.000
GET     794.623       76.250
GET     811.007       77.500
GET     827.391       78.750
GET     843.775       80.000
GET     864.255       81.250
GET     876.543       82.500
GET     892.927       83.750
GET     897.023       85.000
GET     901.119       86.250
GET     913.407       87.500
GET     921.599       88.125
GET     933.887       88.750
GET     942.079       89.375
GET     946.175       90.000
GET     954.367       90.625
GET     966.655       91.250
GET     978.943       91.875
GET     983.039       92.500
GET     991.231       93.125
GET     995.327       93.750
GET     999.423       94.062
GET    1003.519       94.375
GET    1003.519       94.688
GET    1007.615       95.000
GET    1007.615       95.312
GET    1007.615       95.625
GET    1011.711       95.938
GET    1011.711       96.250
GET    1011.711       96.562
GET    1015.807       96.875
GET    1015.807       97.031
GET    1015.807       97.188
GET    1015.807       97.344
GET    1015.807       97.500
GET    1019.903       97.656
GET    1019.903       97.812
GET    1019.903       97.969
GET    1019.903       98.125
GET    1023.999       98.281
GET    1028.095       98.438
GET    1028.095       98.516
GET    1032.191       98.594
GET    1032.191       98.672
GET    1032.191       98.750
GET    1036.287       98.828
GET    1036.287       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1048.575       99.746
GET    1048.575      100.000
---
WAIT      0.000      100.000
