20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       234836.50    234836.50         0.00       537.25479       548.86300      1040.38300      1048.57500     15488.43 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     234836.50    234836.50         0.00       537.25479       548.86300      1040.38300      1048.57500     15488.43 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      45.311        0.000
GET      84.991        5.000
GET     124.927       10.000
GET     197.631       15.000
GET     245.759       20.000
GET     270.335       25.000
GET     352.255       30.000
GET     393.215       35.000
GET     425.983       40.000
GET     497.663       45.000
GET     548.863       50.000
GET     569.343       52.500
GET     585.727       55.000
GET     593.919       57.500
GET     606.207       60.000
GET     675.839       62.500
GET     700.415       65.000
GET     716.799       67.500
GET     737.279       70.000
GET     749.567       72.500
GET     761.855       75.000
GET     806.911       76.250
GET     827.391       77.500
GET     835.583       78.750
GET     856.063       80.000
GET     864.255       81.250
GET     872.447       82.500
GET     880.639       83.750
GET     897.023       85.000
GET     901.119       86.250
GET     909.311       87.500
GET     909.311       88.125
GET     913.407       88.750
GET     917.503       89.375
GET     917.503       90.000
GET     921.599       90.625
GET     925.695       91.250
GET     929.791       91.875
GET     970.751       92.500
GET     978.943       93.125
GET     987.135       93.750
GET     995.327       94.062
GET     995.327       94.375
GET     995.327       94.688
GET    1003.519       95.000
GET    1003.519       95.312
GET    1011.711       95.625
GET    1015.807       95.938
GET    1015.807       96.250
GET    1019.903       96.562
GET    1023.999       96.875
GET    1023.999       97.031
GET    1023.999       97.188
GET    1023.999       97.344
GET    1028.095       97.500
GET    1028.095       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1032.191       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1040.383       99.414
GET    1040.383       99.453
GET    1040.383       99.492
GET    1040.383       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1048.575       99.805
GET    1048.575      100.000
---
WAIT      0.000      100.000
