20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       461857.40    461857.40         0.00       748.81620       823.29500      1019.90300      1048.57500     30461.40 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     461857.40    461857.40         0.00       748.81620       823.29500      1019.90300      1048.57500     30461.40 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      14.655        0.000
GET     184.319        5.000
GET     346.111       10.000
GET     487.423       15.000
GET     663.551       20.000
GET     819.199       25.000
GET     823.295       30.000
GET     823.295       35.000
GET     823.295       40.000
GET     823.295       45.000
GET     823.295       50.000
GET     823.295       52.500
GET     823.295       55.000
GET     823.295       57.500
GET     823.295       60.000
GET     823.295       62.500
GET     823.295       65.000
GET     827.391       67.500
GET     827.391       70.000
GET     851.967       72.500
GET     913.407       75.000
GET     913.407       76.250
GET     917.503       77.500
GET     917.503       78.750
GET     917.503       80.000
GET     917.503       81.250
GET     917.503       82.500
GET     917.503       83.750
GET     917.503       85.000
GET     917.503       86.250
GET     917.503       87.500
GET     921.599       88.125
GET     921.599       88.750
GET     921.599       89.375
GET     921.599       90.000
GET     921.599       90.625
GET     921.599       91.250
GET     921.599       91.875
GET     921.599       92.500
GET     921.599       93.125
GET     921.599       93.750
GET     921.599       94.062
GET     921.599       94.375
GET     921.599       94.688
GET     921.599       95.000
GET     921.599       95.312
GET     921.599       95.625
GET     929.791       95.938
GET     937.983       96.250
GET     946.175       96.562
GET     954.367       96.875
GET     958.463       97.031
GET     958.463       97.188
GET     962.559       97.344
GET     962.559       97.500
GET     962.559       97.656
GET     966.655       97.812
GET     974.847       97.969
GET     983.039       98.125
GET     991.231       98.281
GET     995.327       98.438
GET     999.423       98.516
GET    1007.615       98.594
GET    1011.711       98.672
GET    1011.711       98.750
GET    1015.807       98.828
GET    1015.807       98.906
GET    1019.903       98.984
GET    1023.999       99.062
GET    1023.999       99.141
GET    1028.095       99.219
GET    1028.095       99.258
GET    1028.095       99.297
GET    1032.191       99.336
GET    1032.191       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1036.287       99.531
GET    1040.383       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1048.575       99.805
GET    1048.575      100.000
---
WAIT      0.000      100.000
