20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       273667.33    273667.33         0.00       565.84070       573.43900      1040.38300      1048.57500     18049.51 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     273667.33    273667.33         0.00       565.84070       573.43900      1040.38300      1048.57500     18049.51 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      26.751        0.000
GET     110.079        5.000
GET     178.175       10.000
GET     227.327       15.000
GET     264.191       20.000
GET     331.775       25.000
GET     366.591       30.000
GET     428.031       35.000
GET     468.991       40.000
GET     524.287       45.000
GET     573.439       50.000
GET     589.823       52.500
GET     610.303       55.000
GET     647.167       57.500
GET     667.647       60.000
GET     692.223       62.500
GET     708.607       65.000
GET     745.471       67.500
GET     774.143       70.000
GET     794.623       72.500
GET     806.911       75.000
GET     815.103       76.250
GET     835.583       77.500
GET     856.063       78.750
GET     868.351       80.000
GET     880.639       81.250
GET     888.831       82.500
GET     901.119       83.750
GET     909.311       85.000
GET     917.503       86.250
GET     925.695       87.500
GET     929.791       88.125
GET     942.079       88.750
GET     958.463       89.375
GET     966.655       90.000
GET     974.847       90.625
GET     978.943       91.250
GET     987.135       91.875
GET     991.231       92.500
GET     999.423       93.125
GET     999.423       93.750
GET    1003.519       94.062
GET    1007.615       94.375
GET    1007.615       94.688
GET    1011.711       95.000
GET    1015.807       95.312
GET    1015.807       95.625
GET    1019.903       95.938
GET    1023.999       96.250
GET    1023.999       96.562
GET    1028.095       96.875
GET    1028.095       97.031
GET    1028.095       97.188
GET    1028.095       97.344
GET    1032.191       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1032.191       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1036.287       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1040.383       99.336
GET    1040.383       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1044.479       99.609
GET    1044.479       99.629
GET    1044.479       99.648
GET    1044.479       99.668
GET    1044.479       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1044.479       99.785
GET    1044.479       99.805
GET    1044.479       99.814
GET    1044.479       99.824
GET    1048.575       99.834
GET    1048.575      100.000
---
WAIT      0.000      100.000
