20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       454279.22    454279.22         0.00       538.33753       532.47900      1023.99900      1048.57500     29961.57 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     454279.22    454279.22         0.00       538.33753       532.47900      1023.99900      1048.57500     29961.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      20.863        0.000
GET      79.871        5.000
GET     125.951       10.000
GET     195.583       15.000
GET     229.375       20.000
GET     296.959       25.000
GET     329.727       30.000
GET     397.311       35.000
GET     428.031       40.000
GET     499.711       45.000
GET     532.479       50.000
GET     565.247       52.500
GET     598.015       55.000
GET     614.399       57.500
GET     634.879       60.000
GET     671.743       62.500
GET     700.415       65.000
GET     712.703       67.500
GET     741.375       70.000
GET     782.335       72.500
GET     798.719       75.000
GET     806.911       76.250
GET     811.007       77.500
GET     823.295       78.750
GET     843.775       80.000
GET     860.159       81.250
GET     880.639       82.500
GET     892.927       83.750
GET     901.119       85.000
GET     905.215       86.250
GET     913.407       87.500
GET     921.599       88.125
GET     929.791       88.750
GET     937.983       89.375
GET     946.175       90.000
GET     950.271       90.625
GET     970.751       91.250
GET     974.847       91.875
GET     978.943       92.500
GET     983.039       93.125
GET     987.135       93.750
GET     991.231       94.062
GET     991.231       94.375
GET     991.231       94.688
GET     995.327       95.000
GET     995.327       95.312
GET     999.423       95.625
GET     999.423       95.938
GET     999.423       96.250
GET     999.423       96.562
GET    1003.519       96.875
GET    1003.519       97.031
GET    1003.519       97.188
GET    1007.615       97.344
GET    1007.615       97.500
GET    1007.615       97.656
GET    1007.615       97.812
GET    1007.615       97.969
GET    1011.711       98.125
GET    1011.711       98.281
GET    1015.807       98.438
GET    1015.807       98.516
GET    1015.807       98.594
GET    1019.903       98.672
GET    1019.903       98.750
GET    1019.903       98.828
GET    1023.999       98.906
GET    1023.999       98.984
GET    1023.999       99.062
GET    1023.999       99.141
GET    1032.191       99.219
GET    1032.191       99.258
GET    1032.191       99.297
GET    1032.191       99.336
GET    1036.287       99.375
GET    1036.287       99.414
GET    1036.287       99.453
GET    1036.287       99.492
GET    1036.287       99.531
GET    1036.287       99.570
GET    1040.383       99.609
GET    1040.383       99.629
GET    1040.383       99.648
GET    1040.383       99.668
GET    1040.383       99.688
GET    1044.479       99.707
GET    1044.479       99.727
GET    1044.479       99.746
GET    1044.479       99.766
GET    1048.575       99.785
GET    1048.575      100.000
---
WAIT      0.000      100.000
