20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       269511.07    269511.07         0.00       539.72663       540.67100      1044.47900      1048.57500     17775.37 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     269511.07    269511.07         0.00       539.72663       540.67100      1044.47900      1048.57500     17775.37 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      26.239        0.000
GET      68.095        5.000
GET     134.143       10.000
GET     195.583       15.000
GET     223.231       20.000
GET     294.911       25.000
GET     348.159       30.000
GET     387.071       35.000
GET     454.655       40.000
GET     491.519       45.000
GET     540.671       50.000
GET     569.343       52.500
GET     606.207       55.000
GET     622.591       57.500
GET     638.975       60.000
GET     651.263       62.500
GET     692.223       65.000
GET     724.991       67.500
GET     753.663       70.000
GET     774.143       72.500
GET     782.335       75.000
GET     790.527       76.250
GET     815.103       77.500
GET     831.487       78.750
GET     843.775       80.000
GET     860.159       81.250
GET     880.639       82.500
GET     892.927       83.750
GET     901.119       85.000
GET     913.407       86.250
GET     917.503       87.500
GET     921.599       88.125
GET     925.695       88.750
GET     925.695       89.375
GET     929.791       90.000
GET     933.887       90.625
GET     950.271       91.250
GET     958.463       91.875
GET     970.751       92.500
GET     978.943       93.125
GET     983.039       93.750
GET     987.135       94.062
GET     991.231       94.375
GET     995.327       94.688
GET     999.423       95.000
GET    1003.519       95.312
GET    1007.615       95.625
GET    1011.711       95.938
GET    1019.903       96.250
GET    1023.999       96.562
GET    1023.999       96.875
GET    1028.095       97.031
GET    1028.095       97.188
GET    1032.191       97.344
GET    1032.191       97.500
GET    1032.191       97.656
GET    1032.191       97.812
GET    1036.287       97.969
GET    1036.287       98.125
GET    1036.287       98.281
GET    1040.383       98.438
GET    1040.383       98.516
GET    1040.383       98.594
GET    1040.383       98.672
GET    1044.479       98.750
GET    1044.479       98.828
GET    1044.479       98.906
GET    1044.479       98.984
GET    1044.479       99.062
GET    1044.479       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1048.575       99.414
GET    1048.575      100.000
---
WAIT      0.000      100.000
