20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       454197.53    454197.53         0.00       537.16376       532.47900      1040.38300      1048.57500     29956.21 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     454197.53    454197.53         0.00       537.16376       532.47900      1040.38300      1048.57500     29956.21 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       9.407        0.000
GET      75.775        5.000
GET     123.391       10.000
GET     183.295       15.000
GET     230.399       20.000
GET     288.767       25.000
GET     331.775       30.000
GET     391.167       35.000
GET     432.127       40.000
GET     493.567       45.000
GET     532.479       50.000
GET     569.343       52.500
GET     593.919       55.000
GET     614.399       57.500
GET     630.783       60.000
GET     671.743       62.500
GET     700.415       65.000
GET     716.799       67.500
GET     737.279       70.000
GET     774.143       72.500
GET     802.815       75.000
GET     811.007       76.250
GET     815.103       77.500
GET     823.295       78.750
GET     847.871       80.000
GET     864.255       81.250
GET     876.543       82.500
GET     888.831       83.750
GET     901.119       85.000
GET     909.311       86.250
GET     917.503       87.500
GET     917.503       88.125
GET     929.791       88.750
GET     937.983       89.375
GET     950.271       90.000
GET     958.463       90.625
GET     962.559       91.250
GET     970.751       91.875
GET     978.943       92.500
GET     983.039       93.125
GET     987.135       93.750
GET     991.231       94.062
GET     991.231       94.375
GET     995.327       94.688
GET     995.327       95.000
GET     999.423       95.312
GET     999.423       95.625
GET    1003.519       95.938
GET    1003.519       96.250
GET    1007.615       96.562
GET    1007.615       96.875
GET    1007.615       97.031
GET    1007.615       97.188
GET    1011.711       97.344
GET    1011.711       97.500
GET    1015.807       97.656
GET    1015.807       97.812
GET    1015.807       97.969
GET    1015.807       98.125
GET    1019.903       98.281
GET    1019.903       98.438
GET    1023.999       98.516
GET    1028.095       98.594
GET    1028.095       98.672
GET    1032.191       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1040.383       99.219
GET    1040.383       99.258
GET    1040.383       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1048.575       99.531
GET    1048.575      100.000
---
WAIT      0.000      100.000
